s,l,hi,r,o,qk,qs,ds,ni,i (m),zk (m),i (detik),zk (detik)
Spidol Snowman,Rak A Level 3,4.8,4.8,ATK,105,492,105,3,4.8,4.8,130,160
Puplen Snowman,Rak A Level 3,4.8,4.8,ATK,99,720,99,3,4.8,4.8,130,160
Pulpen faster,Rak A Level 3,4.8,4.8,ATK,105,36,105,3,4.8,4.8,130,160
Pulpen Standard,Rak A Level 3,4.8,4.8,ATK,94,36,94,3,4.8,4.8,130,160
Spidol Warna,Rak A Level 3,4.8,4.8,ATK,112,10,112,3,4.8,4.8,130,160
USB Vention,Rak A Level 4,4.8,4.8,ELEKTRONIK,111,5,111,4,4.8,4.8,140,180
USB Ugreen,Rak A Level 4,4.8,4.8,ELEKTRONIK,119,1,119,4,4.8,4.8,140,180
Sampul Plastik Bening,Rak A Level 4,4.8,4.8,ATK,111,200,111,4,4.8,4.8,140,180
Sampul Putih,Rak A Level 4,4.8,4.8,ATK,103,550,103,4,4.8,4.8,140,180
Spray Pengharum Ruangan,Rak A Level 2,4.8,4.8,INVENTARIS,139,4,139,2,4.8,4.8,120,140
Pengharum Ruangan Gantung,Rak A Level 2,4.8,4.8,INVENTARIS,117,50,117,2,4.8,4.8,120,140
Kit Kabel & Remot,Rak A Level 1,4.8,4.8,ELEKTRONIK,110,7,110,1,4.8,4.8,110,120
Buku Akuntansi Besar,Rak A Level 1,4.8,4.8,ATK,108,14,108,1,4.8,4.8,110,120
Buku Akuntansi Kecil,Rak A Level 1,4.8,4.8,ATK,105,15,105,1,4.8,4.8,110,120
Buku Akuntansi Persegi Panjang,Rak A Level 1,4.8,4.8,ATK,123,1,123,1,4.8,4.8,110,120
Gantungan Kunci,Rak A Level 1,4.8,4.8,INVENTARIS,100,200,100,1,4.8,4.8,110,120
Correction Pen Cair,Rak B Level 4,4.4,4.4,ATK,98,48,98,4,4.4,4.4,130,170
Correction Tape,Rak B Level 4,4.4,4.4,ATK,107,12,107,4,4.4,4.4,130,170
Pensil,Rak B Level 4,4.4,4.4,ATK,135,36,135,4,4.4,4.4,130,170
Stabilo Boss,Rak B Level 4,4.4,4.4,ATK,119,84,119,4,4.4,4.4,130,170
Amplop,Rak B Level 4,4.4,4.4,ATK,105,12,105,4,4.4,4.4,130,170
Penghapus Papan Tulis,Rak B Level 4,4.4,4.4,ATK,119,600,119,4,4.4,4.4,130,170
Tinta Printer,Rak B Level 3,4.4,4.4,ATK,110,24,110,3,4.4,4.4,120,150
Stappler Besar,Rak B Level 3,4.4,4.4,ATK,111,4,111,3,4.4,4.4,120,150
Stappler Sedang,Rak B Level 3,4.4,4.4,ATK,123,12,123,3,4.4,4.4,120,150
Refill Tinta Spidol,Rak B Level 3,4.4,4.4,ATK,111,36,111,3,4.4,4.4,120,150
Tape Dispenser,Rak B Level 3,4.4,4.4,ATK,116,96,116,3,4.4,4.4,120,150
Pembolong Kertas,Rak B Level 3,4.4,4.4,ATK,108,5,108,3,4.4,4.4,120,150
Gunting,Rak B Level 3,4.4,4.4,ATK,102,2,102,3,4.4,4.4,120,150
Buku Note,Rak B Level 3,4.4,4.4,ATK,115,1,115,3,4.4,4.4,120,150
Memory Card,Rak B Level 2,4.4,4.4,ATK,108,12,108,3,4.4,4.4,110,130
Magic Twist Tie,Rak B Level 2,4.4,4.4,ELEKTRONIK,95,12,95,2,4.4,4.4,110,130
Stamp Pad,Rak B Level 2,4.4,4.4,ELEKTRONIK,112,12,112,2,4.4,4.4,110,130
Sticky Note,Rak B Level 2,4.4,4.4,ATK,97,24,97,2,4.4,4.4,110,130
RAM,Rak B Level 2,4.4,4.4,ATK,113,12,113,2,4.4,4.4,110,130
Kertas Foto,Rak B Level 1,4.4,4.4,ELEKTRONIK,121,128,121,1,4.4,4.4,100,110
Tissue Wipers,Rak B Level 1,4.4,4.4,ATK,99,114,99,1,4.4,4.4,100,110
Map Business,Rak C Level 4,4,4,INVENTARIS,135,145,135,4,4,4,120,160
Lem Fox Sedang,Rak C Level 4,4,4,ATK,105,5,105,4,4,4,120,160
Lem Uhu,Rak C Level 4,4,4,ATK,141,147,141,4,4,4,120,160
Permanent Mounting Tape,Rak C Level 4,4,4,ATK,114,3,114,4,4,4,120,160
Glue Stick,Rak C Level 4,4,4,ATK,124,24,124,4,4,4,120,160
Lem Fox Besar,Rak C Level 4,4,4,ATK,104,1,104,4,4,4,120,160
Clip Binder 6,Rak C Level 3,4,4,ATK,116,122,116,3,4,4,110,140
Clip Binder 200,Rak C Level 3,4,4,ATK,128,136,128,3,4,4,110,140
Clip Binder 111,Rak C Level 3,4,4,ATK,108,123,108,3,4,4,110,140
Clip Binder 107,Rak C Level 3,4,4,ATK,116,127,116,3,4,4,110,140
Clip Binder 155,Rak C Level 3,4,4,ATK,122,132,122,3,4,4,110,140
USB Type C,Rak C Level 1,4,4,ATK,95,1,95,1,4,4,90,100
Isi Stappler 10,Rak C Level 3,4,4,ELEKTRONIK,127,60,127,3,4,4,110,140
Isi Stappler 3,Rak C Level 3,4,4,ATK,124,24,124,3,4,4,110,140
Mouse Pad,Rak C Level 3,4,4,ATK,94,12,94,3,4,4,110,120
Double Tip,Rak C Level 2,4,4,ATK,100,48,100,2,4,4,100,120
Lakban Hitam,Rak C Level 2,4,4,ATK,110,11,110,2,4,4,100,120
Lakban Putih,Rak C Level 2,4,4,ATK,110,2,110,2,4,4,100,120
Lakban Merah,Rak C Level 2,4,4,ATK,82,2,82,2,4,4,100,120
Lakban Kuning,Rak C Level 2,4,4,ATK,101,1,101,2,4,4,100,120
Lakban Cokelat,Rak C Level 2,4,4,ATK,112,2,112,2,4,4,100,120
Panfix,Rak C Level 2,4,4,ATK,127,2,127,2,4,4,100,120
HDMI Card Vention,Rak C Level 1,4,4,ELEKTRONIK,105,15,105,1,4,4,90,100
Paku,Rak C Level 1,4,4,INVENTARIS,113,1,113,1,4,4,90,100
TP Link Router,Rak C Level 1,4,4,ELEKTRONIK,129,1,129,1,4,4,90,100
Pembolong Kertas BOSCH,Rak C Level 1,4,4,ATK,98,1,98,1,4,4,90,100
HDMI Type 10M,Rak C Level 2,4,4,ELEKTRONIK,116,3,116,2,4,4,100,120
Laminating Pouch Film A4,Rak D Level 4,3.6,3.6,ATK,112,24,112,4,3.6,3.6,110,150
Pembatas,Rak D Level 4,3.6,3.6,ATK,116,60,116,4,3.6,3.6,110,150
Map Tel-U,Rak D Level 4,3.6,3.6,ATK,121,60,121,4,3.6,3.6,110,150
Keyboard,Rak D Level 3,3.6,3.6,ELEKTRONIK,101,33,101,3,3.6,3.6,100,130
Harddisk,Rak D Level 3,3.6,3.6,ELEKTRONIK,109,1,109,3,3.6,3.6,100,130
Baterai Alkaline AA (Box Besar),Rak E Level 4,3.2,3.2,ELEKTRONIK,113,130,113,4,3.2,3.2,100,130
Baterai Alkaline AAA,Rak E Level 4,3.2,3.2,ELEKTRONIK,99,109,99,4,3.2,3.2,100,130
Baterai Alkaline AA (Box Kecil),Rak E Level 4,3.2,3.2,ELEKTRONIK,93,103,93,4,3.2,3.2,100,130
Power Supply,Rak E Level 4,3.2,3.2,ELEKTRONIK,111,127,111,4,3.2,3.2,100,130
Amplop Tel-U,Rak E Level 3,3.2,3.2,ATK,93,60,93,3,3.2,3.2,90,120
Map Office Warna,Rak E Level 3,3.2,3.2,ATK,114,36,114,3,3.2,3.2,90,120
Lampu Panjang,Rak E Level 2,3.2,3.2,INVENTARIS,125,3,125,2,3.2,3.2,80,100
Water Based,Rak E Level 1,3.2,3.2,INVENTARIS,120,136,120,1,3.2,3.2,70,80
